candidate_id,company_name,industry_group,evidence_source,evidence_url,evidence_date,close_date,internship_signal,application_signal,importability,company_scale,review_state,last_reviewed,notes
ICU-0001,帆软,enterprise_software,company_official,https://join.fanruan.com/trainee/detail?id=9798,2026-07-22,rolling,active_explicit,official_url,candidate,unknown,application_chain_checked,2026-07-26,官方详情显示实习岗位但仍需核验列表结构和访问政策
ICU-0002,千寻智能,ai_robotics,university,https://career.cuhk.edu.cn/job/view/id/468454,2026-07-22,2026-12-31,active_explicit,official_url_and_email,candidate,unknown,application_chain_checked,2026-07-26,高校原文给出企业ATS和企业域名邮箱
ICU-0003,普渡机器人,ai_robotics,university,https://career.nankai.edu.cn/correcruit/content/id/116156.html,2026-07-22,rolling,active_explicit,official_url,candidate,unknown,application_chain_checked,2026-07-26,2028届实习且说明滚动面试
ICU-0004,DTL量化,finance,university,https://career.nankai.edu.cn/correcruit/content/id/116147.html,2026-07-22,unknown,active_explicit,official_url_and_email,candidate,unknown,application_chain_checked,2026-07-26,实习三至六个月且企业官网有招聘入口
ICU-0005,先临三维,intelligent_manufacturing,university,https://career.cuhk.edu.cn/job/view/id/467090,2026-07-22,2026-08-31,active_explicit,official_url,candidate,unknown,application_chain_checked,2026-07-26,高校原文显示算法及软硬件实习
ICU-0006,易思维,intelligent_manufacturing,university,https://career.nankai.edu.cn/correcruit/content/id/113876.html,2026-07-22,unknown,active_needs_recheck,official_url_and_email,not_ready,unknown,application_chain_checked,2026-07-26,需确认企业ATS当前仍有活动实习
ICU-0007,地平线,ai_chips,university,https://jdjyw.jlu.edu.cn/portal/jyzp/recruit/details?id=1881ef4a713e4c029eb4363e6755ad60,2026-07-22,unknown,active_explicit,official_url_and_email,candidate,unknown,application_chain_checked,2026-07-26,高校原文给出官方ATS和企业域名邮箱
ICU-0008,拓竹科技,intelligent_manufacturing,university,https://ejob.dhu.edu.cn/pros_wjdc/s/cms/DongHua/single/2026/06/24/26062414433759990760,2026-06-24,unknown,active_needs_recheck,official_url,not_ready,unknown,application_chain_checked,2026-07-26,需确认企业ATS当前活动状态和岗位级链接
ICU-0009,深圳锐圳科技,ai_software,university,https://career.cuhk.edu.cn/job/view/id/468767,2026-07-22,2026-10-01,active_explicit,company_email,candidate,unknown,application_chain_checked,2026-07-26,企业域名邮箱已出现但主体关联仍需核验
ICU-0010,溯简科技,intelligent_manufacturing,university,https://career.cuhk.edu.cn/job/view/id/468796,2026-07-22,2026-07-26,active_needs_recheck,company_email,not_ready,unknown,application_chain_checked,2026-07-26,当天截止需先确认仍可投递
ICU-0011,纳睿雷达,intelligent_manufacturing,university,https://career.cuhk.edu.cn/job/view/id/468817,2026-07-22,2026-07-26,active_needs_recheck,company_email,not_ready,unknown,application_chain_checked,2026-07-26,当天截止且岗位表在附件
ICU-0012,开源证券研究所,finance,university,https://career.cuhk.edu.cn/job/view/id/468848,2026-07-22,2026-07-31,active_explicit,company_email,candidate,unknown,application_chain_checked,2026-07-26,需继续核验主体归属和院校限制
ICU-0013,前海新型互联网交换中心,digital_infrastructure,university,https://career.cuhk.edu.cn/job/view/id/468449,2026-07-22,2026-08-31,active_explicit,company_email,candidate,unknown,application_chain_checked,2026-07-26,AI项目实习且原文给出企业域名邮箱
ICU-0014,分享成长投资,finance,university,https://career.cuhk.edu.cn/job/view/id/467309,2026-07-22,2026-12-31,active_explicit,company_email,candidate,unknown,application_chain_checked,2026-07-26,基金投后助理实习
ICU-0015,喜岳投资,finance,university,https://career.cuhk.edu.cn/job/view/id/467817,2026-07-22,2026-12-31,active_explicit,official_url,candidate,unknown,application_chain_checked,2026-07-26,多类实习且有企业钉钉招聘页
ICU-0016,Flab,finance_technology,university,https://career.cuhk.edu.cn/job/view/id/465828,2026-07-22,2026-12-31,active_explicit,company_email,candidate,unknown,application_chain_checked,2026-07-26,量化研究实习且有企业域名邮箱
ICU-0017,湖南高阳通联,finance_technology,university,https://career.cuhk.edu.cn/job/view/id/468693,2026-07-22,2026-07-24,expired,company_email,rejected,unknown,rejected_expired,2026-07-26,截止日期已过
ICU-0018,汉腾生物,biotechnology,university,https://career.cuhk.edu.cn/job/view/id/468662,2026-07-22,2026-07-31,active_explicit,company_email,candidate,unknown,application_chain_checked,2026-07-26,人力资源实习且有企业域名邮箱
ICU-0019,诗悦网络,gaming,university,https://career.cuhk.edu.cn/job/view/id/468683,2026-07-22,2026-07-24,expired,official_url,rejected,unknown,rejected_expired,2026-07-26,截止日期已过
ICU-0020,宝盈基金,finance,university,https://career.nankai.edu.cn/correcruit/content/id/116244.html,2026-07-22,unknown,active_needs_recheck,company_email,not_ready,unknown,application_chain_checked,2026-07-26,需确认岗位属于当前可投实习
