staging_id,company_name,priority_tracks,evidence_url,evidence_date,close_date,activity_state,application_signal,review_state,last_reviewed,notes
EP-0901,深圳慧能泰半导体科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1441522.htm,2022-04-14,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0902,美世（中国）有限公司,other,https://job.hust.edu.cn/zpinfo3/1436370.htm,2022-04-14,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0903,重庆市规划设计研究院,other,https://job.hust.edu.cn/zpinfo3/1438769.htm,2022-04-12,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0904,罗氏诊断产品（上海）有限公司,other,https://job.hust.edu.cn/zpinfo3/1438468.htm,2022-04-12,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0905,武汉正久信息咨询有限公司,other,https://job.hust.edu.cn/zpinfo3/1434804.htm,2022-04-11,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0906,港华投资有限公司,other,https://job.hust.edu.cn/zpinfo3/1437208.htm,2022-04-11,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0907,上海缔安科技股份有限公司,other,https://job.hust.edu.cn/zpinfo3/1436854.htm,2022-04-09,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0908,因美纳（中国）科学器材有限公司,other,https://job.hust.edu.cn/zpinfo3/1432855.htm,2022-04-06,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0909,趋势科技（中国）有限公司南京分公司,other,https://job.hust.edu.cn/zpinfo3/1431757.htm,2022-04-02,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0910,孚瑞肯电气（深圳）有限公司,other,https://job.hust.edu.cn/zpinfo3/1430197.htm,2022-04-01,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0911,唐山市环境规划科学研究院,other,https://job.hust.edu.cn/zpinfo3/1425684.htm,2022-03-28,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0912,超威半导体（上海）有限公司,other,https://job.hust.edu.cn/zpinfo3/1425272.htm,2022-03-28,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0913,中银金融科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1423798.htm,2022-03-25,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0914,康明斯（中国）投资有限公司,other,https://job.hust.edu.cn/zpinfo3/1423715.htm,2022-03-25,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0915,丹佛斯（上海）投资有限公司,other,https://job.hust.edu.cn/zpinfo3/1423691.htm,2022-03-25,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0916,武汉城投投资发展有限公司,other,https://job.hust.edu.cn/zpinfo3/1418024.htm,2022-03-23,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0917,中科酷原科技（武汉）有限公司,other,https://job.hust.edu.cn/zpinfo3/1417635.htm,2022-03-18,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0918,云南省医药有限公司,other,https://job.hust.edu.cn/zpinfo3/1416189.htm,2022-03-17,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0919,华英证券有限责任公司,other,https://job.hust.edu.cn/zpinfo3/1414583.htm,2022-03-16,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0920,厦门飞游信息科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1409101.htm,2022-03-10,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0921,泰邦生物集团有限公司,other,https://job.hust.edu.cn/zpinfo3/1407594.htm,2022-03-08,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0922,上海信璞私募基金管理中心（有限合伙）,other,https://job.hust.edu.cn/zpinfo3/1406305.htm,2022-03-06,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0923,上海道生物联技术有限公司,other,https://job.hust.edu.cn/zpinfo3/1405495.htm,2022-03-04,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0924,艾昆纬医药科技（上海）有限公司,other,https://job.hust.edu.cn/zpinfo3/1404891.htm,2022-03-03,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0925,杭州萧山国际机场有限公司,other,https://job.hust.edu.cn/zpinfo3/1403299.htm,2022-03-02,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0926,青岛安值投资管理有限公司,other,https://job.hust.edu.cn/zpinfo3/1403083.htm,2022-03-02,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0927,江苏苏宁银行股份有限公司,other,https://job.hust.edu.cn/zpinfo3/1388160.htm,2022-02-08,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0928,无锡普惠生物科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1371613.htm,2022-01-20,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0929,杭州易话科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1382813.htm,2022-01-14,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0930,广州宝洁有限公司,other,https://job.hust.edu.cn/zpinfo3/1382765.htm,2022-01-11,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0931,北京天融信科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1381230.htm,2022-01-07,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0932,宸宇建设集团有限公司,other,https://job.hust.edu.cn/zpinfo3/1375067.htm,2021-12-31,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0933,广州市弘宇科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1377492.htm,2021-12-29,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0934,中外建工程设计与顾问有限公司深圳分公司,other,https://job.hust.edu.cn/zpinfo3/1374074.htm,2021-12-23,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0935,广州文远知行科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1364451.htm,2021-12-08,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0936,北京柠檬微趣科技股份有限公司,other,https://job.hust.edu.cn/zpinfo3/1363892.htm,2021-12-07,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0937,蓝月亮（中国）有限公司,other,https://job.hust.edu.cn/zpinfo3/1360679.htm,2021-11-26,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0938,上海吉世代网络科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1360371.htm,2021-11-25,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0939,谷川联行有限公司,other,https://job.hust.edu.cn/zpinfo3/1355264.htm,2021-11-18,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0940,中汇会计师事务所（特殊普通合伙）,other,https://job.hust.edu.cn/zpinfo3/1353411.htm,2021-11-17,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0941,深圳小库科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1350897.htm,2021-11-12,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0942,合肥铁榔头教育科技有限公司,other,https://job.hust.edu.cn/zpinfo3/1349164.htm,2021-11-12,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0943,中国船级社武汉规范研究所,other,https://job.hust.edu.cn/zpinfo3/1347634.htm,2021-11-08,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
EP-0944,武汉糖智药业有限公司,other,https://job.hust.edu.cn/zpinfo3/1328137.htm,2021-11-03,unknown,discovery_only,university_only,historical_lead_only,2026-07-26,高校实习栏目保留历史岗位级证据仅作排重和供给历史线索；当前活动状态官方申请链和岗位方向均需重新核验
