staging_id,company_name,priority_tracks,evidence_url,evidence_date,close_date,activity_state,application_signal,review_state,last_reviewed,notes
RP-0401,成都乐我无限科技有限责任公司,product_operations,https://jy.scu.edu.cn/index/index/employjobdetail.html?data=MDAwMDAwMDAwMJG6n3_Ed6imi4qQtLh4ZJqK0dSuyobddricp9CWi5qikaeWacSdqLqGfaK2w4iil5C4zNbGiL-E,2026-03-30,2026-06-29,expired,university_only,rejected_expired,2026-07-26,AI产品实习明确涉及需求规划内容生态竞品研究和跨研发算法协作但本批次已截止
RP-0402,成都智策量化科技有限公司,electronic_information_technology,https://jy.scu.edu.cn/index/index/employjobdetail.html?data=MDAwMDAwMDAwMJG6n3_Ed6imi4qQtLh4Y9yKu9Smsnbddricp9CWi5qikaeWacSdqLqGfaK2w4iil5C4zNbGiL-E,2026-06-15,2026-07-29,active_explicit,university_only,internship_evidence_checked,2026-07-26,量化交易实习仍在有效期且包含人工智能辅助分析策略开发和数据回测但申请链及培训边界需复核
RP-0403,成都市服务业研究院,product_operations,https://jy.scu.edu.cn/index/index/employjobdetail.html?data=MDAwMDAwMDAwMJG6n3_Ed6imi4qQtLh4Y9yKu9Sysnbddricp9CWi5qikaeWacSdqLqGfaK2w4iil5C4zNbGiL-E,2026-06-17,2026-07-15,expired,company_email,rejected_expired,2026-07-26,政务新媒体内容策划编辑发布和维护实习明确且使用机构域名邮箱但本批次已截止
RP-0404,四川君逸数码科技股份有限公司,electronic_information_technology,https://jy.scu.edu.cn/index/index/employjobdetail.html?data=MDAwMDAwMDAwMJG6n3_Ed6imi4qQtLh4Y9yKu9SysmHddricp9CWi5qikaeWacSdqLqGfaK2w4iil5C4zNbGiL-E,2026-06-17,2026-07-30,active_explicit,university_only,internship_evidence_checked,2026-07-26,AI算力平台解决方案与交付岗位接受实习且当前有效但企业官方申请入口需复核
RP-0405,长沙云边智算科技有限责任公司,product_operations|electronic_information_technology,https://job.hutb.edu.cn/detail/job?id=2527431,2025-03-31,unknown,expired,university_only,rejected_expired,2026-07-26,AI SaaS产品运营实习明确覆盖增长用户反馈内容和数据分析但属于2025历史岗位
RP-0406,湖南良师启航教育科技集团有限公司,product_operations,https://job.hutb.edu.cn/detail/job?id=2716726,2026-03-25,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,新媒体运营实习明确覆盖短视频社交平台和引流但当前活动状态与企业申请链需复核
RP-0407,湖南斗安智能科技有限公司,electronic_information_technology,https://job.hutb.edu.cn/detail/online?id=3516870&menu_id=,2026-05-21,unknown,active_needs_recheck,company_email,application_chain_checked,2026-07-26,少于50人企业明确招聘软件硬件联动测试实习且提供企业域名邮箱
RP-0408,长沙顶益食品有限公司,product_operations,https://job.hutb.edu.cn/detail/job?id=2146407&menu_id=,2026-04-27,unknown,active_needs_recheck,company_email,application_chain_checked,2026-07-26,营运实习明确覆盖市场信息竞品洞察和数据分析且使用康师傅企业域名邮箱
RP-0409,长沙虚拟盒子科技有限公司,product_operations|electronic_information_technology,https://job.hutb.edu.cn/detail/job?id=2741941&menu_id=,2026-04-22,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,150至500人企业AI实习明确覆盖全栈大模型API智能体RAG和产品MVP但申请链需复核
RP-0410,湖南快电蜂新能源科技有限公司,product_operations,https://job.hutb.edu.cn/detail/job?id=3045062&online_id=3528937,2026-06-04,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,充电产品市场拓展实习明确包含客户需求反馈和产品服务策略优化但申请链需复核
RP-0411,武汉极目智能技术有限公司,electronic_information_technology,https://coi.hzau.edu.cn/info/1601/57561.htm,2025-12-01,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,长期实习明确覆盖深度学习规控图像融合感知硬件Java和嵌入式开发但当前岗位活动状态需复核
RP-0412,武汉华瑾科技有限公司,electronic_information_technology,https://job.hust.edu.cn/zpinfo1/2406951.htm,2026-06-30,unknown,active_needs_recheck,company_email,application_chain_checked,2026-07-26,C++开发和AI算法实习明确且企业域名邮箱可核验
RP-0413,武汉船用机械有限责任公司,electronic_information_technology,https://job.hust.edu.cn/zpinfo1/2400651.htm,2026-05-26,unknown,expired,university_only,rejected_expired,2026-07-26,2027届暑期实习明确但实习已在六月至八月执行且当前未见继续申请入口
RP-0414,北京网聘信息技术有限公司武汉分公司,product_operations,https://job.hust.edu.cn/zpinfo1/2406644.htm,2026-06-22,rolling,active_explicit,company_email,application_chain_checked,2026-07-26,2026秋季实习明确开放校园用户增长和招聘项目运营且提供智联企业域名邮箱
RP-0415,中科西格玛（河南）人工智能科技有限公司,electronic_information_technology,https://job.haut.edu.cn/module/campustalkdetail/id-6a0d775cae284ea00472f9c8/nid-8781,2026-05-21,unknown,active_needs_recheck,unknown,application_chain_rejected,2026-07-26,页面主打零基础实训和定岗实习一站式项目但未见企业官方岗位及申请链故不能进入导入候选
RP-0416,西安长天长软件股份有限公司,electronic_information_technology,https://www.mdit.edu.cn/info/6879/117535.htm,2025-11-01,unknown,expired,university_only,rejected_expired,2026-07-26,2026届嵌入式产品部实习岗位明确但属于历史批次且当前仅见个人联系方式
RP-0417,软通动力信息技术（集团）股份有限公司,electronic_information_technology,https://www.mdit.edu.cn/info/6879/120055.htm,2026-02-01,2026-06-30,expired,university_only,rejected_expired,2026-07-26,AI软件实习明确使用Python与推理框架但原定三月实习且本批次已结束
RP-0418,浪潮通用软件有限公司,product_operations|electronic_information_technology,https://myjob.dlmu.edu.cn/campus/view/id/867894,unknown,2026-07-28,active_explicit,university_only,internship_evidence_checked,2026-07-26,浪潮数字企业实习仍在有效期且覆盖Java研发产品和企业AI方向但官方申请链需复核
RP-0419,腾讯云计算（西安）有限责任公司,product_operations|electronic_information_technology,https://career.hebut.edu.cn/correcruit/content/id/77547.html,2026-03-17,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,2027暑期实习明确覆盖开发测试数据算法技术产品和产品运营但当前申请入口需复核
RP-0420,前锦网络信息技术（上海）有限公司长沙分公司,product_operations,https://job.hutb.edu.cn/detail/job?id=2738808,2026-05-10,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,校园产品与运营支持实习明确但当前仅能从高校岗位系统申请
RP-0421,用友网络科技股份有限公司,product_operations|electronic_information_technology,https://job.hutb.edu.cn/detail/online?id=3518643,2026-05-25,rolling,active_explicit,official_url,application_chain_checked,2026-07-26,友智星实习明确覆盖商科数智产品实践且提供用友官方实习岗位入口
RP-0422,拓维信息系统股份有限公司,product_operations|electronic_information_technology,https://job.hutb.edu.cn/detail/online?id=3487579,2026-03-24,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,27和28届实习明确覆盖AI鸿蒙开发和产品方向但当前企业官方岗位入口需复核
RP-0423,长沙中海兴业房地产有限公司,product_operations,https://job.hutb.edu.cn/detail/job?id=2718882,2026-04-27,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,数营实习明确覆盖短视频直播社群和数据分析但当前申请链需复核
RP-0424,湖南大宇联合会计师事务所（普通合伙）,other,https://job.hutb.edu.cn/detail/job?id=2773134,2026-05-19,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,审计实习明确长期招聘用于保留其他职能纠偏但申请链需复核
RP-0425,四川千正科技有限责任公司,product_operations,https://jy.scu.edu.cn/index/index/employdetail.html?data=MDAwMDAwMDAwMJG6n3_Ed6imi4qQtcOgl5qKqLKvsoizpsp5u9GGrZ6ujs6WZMKGcdKLoJDStXqn1ZDPqaE,unknown,2026-12-30,active_explicit,university_only,internship_evidence_checked,2026-07-26,四川大学岗位列表明确短视频编辑实习仍在有效期但需打开详情补齐岗位和申请链
RP-0426,兴业银行股份有限公司成都分行,other,https://jy.scu.edu.cn/index/index/employjobdetail.html?data=MDAwMDAwMDAwMJG6n3_Ed6imi4qQtLh4Y9yKutTWsmHddricp9CWi5qikaeWacSdqLqGfaK2w4iil5C4zNbGiL-E,2026-06-11,2026-06-24,expired,official_url,rejected_expired,2026-07-26,暑期实习岗位和银行官方招聘入口明确但本批次已截止
RP-0427,重庆三峡银行股份有限公司,electronic_information_technology,https://career.nankai.edu.cn/correcruit/content/id/116057.html,2026-06-11,2026-06-21,expired,official_url,rejected_expired,2026-07-26,金融科技实习明确包含系统建设运维数据治理和分析且使用银行招聘站但本批次已截止
RP-0428,重庆开源共创科技有限公司,other,https://job.hutb.edu.cn/detail/job?id=2773211,2026-05-19,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,当前明确岗位为人事行政实习仅用于其他职能纠偏且申请链需复核
RP-0429,西安朝前智能科技有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519765,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,50至150人企业算法实习岗位当前可在高校系统申请且明确面向电子信息和计算机专业
RP-0430,北京神州软科信息技术有限责任公司,product_operations|electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519663,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,少于50人企业AI智能体运营和海外增长实习当前可申请但企业官方申请链需复核
RP-0431,上海华讯网络系统有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1487903,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,软件开发实习岗位明确但高校页面已标记过期
RP-0432,田和智能科技（深圳）有限公司,product_operations,https://job.xidian.edu.cn/job/view/id/1512590,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,少于50人企业产品经理实习岗位明确但高校页面已标记过期
RP-0433,西安第六镜网络科技有限公司,product_operations,https://job.xidian.edu.cn/job/view/id/1517993,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,150至500人企业运营实习岗位明确但高校页面已标记过期
RP-0434,格尔软件股份有限公司西安分公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519723,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,500至1000人企业开发和测试技术实习当前可在高校系统申请但官方入口需复核
RP-0435,梅卡曼德（北京）机器人科技有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1484043,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,C++软件工程实习岗位明确但高校页面已标记过期
RP-0436,马丁科瑞半导体（浙江）有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519143,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,150至500人半导体企业助理软件工程实习明确但高校页面已标记过期
RP-0437,西安担保集团有限公司,other,https://job.xidian.edu.cn/job/view/id/1519667,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,国有担保企业实习岗位明确用于其他职能纠偏但高校页面已标记过期
RP-0438,上海卡方信息科技有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1518751,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,150至500人企业量化实习岗位明确但高校页面已标记过期
RP-0439,广东省丝丽集团有限公司,other,https://job.xidian.edu.cn/job/view/id/1519724,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,国有企业实习岗位明确用于其他职能纠偏但高校页面已标记过期
RP-0440,嘉兴宝沣投资管理有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519817,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,少于50人企业AI驱动量化研究实习当前可在高校系统申请但企业官方申请链需复核
RP-0441,西安瀚薪楷智半导体有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519790,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,50至150人半导体企业测试实习当前可在高校系统申请但岗位细节和官方入口需复核
RP-0442,西安立辰远景信息技术有限公司,product_operations,https://job.xidian.edu.cn/job/view/id/1502944,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,50至150人企业英语编辑实习明确但高校页面已标记过期
RP-0443,中国图书进出口西安有限公司,product_operations,https://job.xidian.edu.cn/job/view/id/1512546,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,国有企业市场助理实习岗位明确但高校页面已标记过期
RP-0444,上海瀚薪科技有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1516939,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,50至150人企业碳化硅研发实习岗位明确但高校页面已标记过期
RP-0445,元石（常州）人工智能联合创新中心有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1511763,unknown,unknown,expired,university_only,rejected_expired,2026-07-26,少于50人企业硬科技投资研究岗位接受日常实习生但高校页面已标记过期
RP-0446,河南兜圈子网络技术有限公司,electronic_information_technology,https://job.haut.edu.cn/module/position_details/id-447046/nid-8957,2026-03-07,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,视觉算法岗位明确接受对口专业学生实习并覆盖工业视觉软硬件系统但当前申请链需复核
RP-0447,郑州亚盟电子科技有限公司,product_operations,https://job.haut.edu.cn/module/position_details/id-363854/nid-8957,2026-06-05,unknown,active_needs_recheck,unknown,application_chain_rejected,2026-07-26,综合实习含运营但强调销售提成和系统培训且未见企业官方申请链暂不进入导入候选
RP-0448,北京盛邦安全技术股份有限公司,electronic_information_technology,https://job.xidian.edu.cn/campus/view/id/752275,unknown,unknown,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,网络安全服务测试和售后技术实习岗位明确但当前活动状态与官方申请入口需复核
RP-0449,河北神玥软件科技股份有限公司,other,https://job.xidian.edu.cn/job/view/id/1518132,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,当前人力资源实习岗位可在高校系统申请但不归入产品运营或电子信息技术优先方向
RP-0450,北京华钧广汇投资管理有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519990,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,量化研究员实习岗位当前可申请并明确数据研究与编程要求
RP-0451,河南省视博电子股份有限公司,product_operations,https://job.xidian.edu.cn/job/view/id/1519546,unknown,rolling,active_needs_recheck,university_only,internship_evidence_checked,2026-07-26,产品经理页面明确实习薪资与产品规划职责但职位性质标为全职需复核实际实习入口
RP-0452,深圳华强实业股份有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519840,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,嵌入式软件实习岗位当前可申请并列出电子信息与计算机专业
RP-0453,存融流体设备（无锡）有限公司,electronic_information_technology,https://job.xidian.edu.cn/job/view/id/1519408,unknown,rolling,active_explicit,university_only,internship_evidence_checked,2026-07-26,嵌入式系统软件开发测试实习岗位当前可申请且要求明确
